first_name,last_name,email,salary,country,date_of_birth,gender,phone_number,joining_date,status,department,job_title
Robert,Miller,robert.miller14@example.com,127168.48,UK,1982-07-20,Other,+18829828304,2021-01-11,On Leave,Human Resources,Data Scientist
Joseph,Brown,joseph.brown15@example.com,120368.93,India,1989-09-30,Male,+19499148667,2010-02-26,Active,Quality Assurance,Marketing Analyst
William,Wilson,william.wilson16@example.com,95247.24,India,1999-01-07,Female,+15254313145,2016-07-12,On Leave,Human Resources,DevOps Engineer
Katie,Miller,katie.miller17@example.com,116416.45,Japan,1989-02-03,Other,+13818058389,2016-09-10,Active,Data,Data Scientist
Joseph,Williams,joseph.williams18@example.com,53277.64,Canada,1993-08-17,Male,+19700169171,2022-11-26,On Leave,Product,Product Manager
Charles,Miller,charles.miller19@example.com,46488.32,Brazil,1978-07-10,Male,+11770548368,2013-11-23,Active,Quality Assurance,Sales Representative
Emily,Jackson,emily.jackson20@example.com,91469.75,Japan,1998-08-26,Female,+17385199770,2011-06-30,On Leave,Human Resources,Marketing Analyst
Katie,Rodriguez,katie.rodriguez21@example.com,40089.44,Australia,1985-09-24,Female,+15110746890,2023-01-04,Active,Human Resources,Marketing Analyst
Michael,Rodriguez,michael.rodriguez22@example.com,147527.97,Canada,1992-02-10,Other,+17987588693,2021-02-23,Active,Product,DevOps Engineer
Sarah,Wilson,sarah.wilson23@example.com,56012.91,South Africa,1983-05-21,Other,+18263891782,2022-01-14,Suspended,Sales,DevOps Engineer
Emma,Brown,emma.brown24@example.com,94275.98,USA,1984-09-05,Male,+13391205544,2015-05-01,Terminated,Sales,DevOps Engineer
Emily,Taylor,emily.taylor25@example.com,82623.12,Japan,1972-02-28,Other,+19762276246,2014-07-17,On Leave,Marketing,Software Engineer
Michael,Rodriguez,michael.rodriguez26@example.com,111149.84,Australia,1993-07-11,Female,+18395865336,2015-08-05,Suspended,Operations,QA Engineer
Charles,Wilson,charles.wilson27@example.com,101741.92,UK,1996-03-05,Other,+19285402447,2018-08-11,On Leave,Human Resources,DevOps Engineer
Michael,Gonzalez,michael.gonzalez28@example.com,101846.15,Japan,1970-08-09,Other,+16924261151,2022-08-22,On Leave,Data,Software Engineer
William,Jones,william.jones29@example.com,141996.03,France,1980-01-30,Other,+19861280871,2012-04-11,Active,Product,QA Engineer
Alex,Wilson,alex.wilson30@example.com,108814.19,South Africa,1977-02-09,Other,+19097795124,2010-02-01,Active,Marketing,Software Engineer
Joseph,Martin,joseph.martin31@example.com,127616.48,India,1980-07-06,Other,+12412920052,2014-01-06,Active,Data,Marketing Analyst
William,Smith,william.smith32@example.com,91921.75,USA,1987-07-02,Other,+14480247667,2020-12-04,Terminated,Operations,HR Specialist
Alex,Moore,alex.moore33@example.com,120038.9,Germany,1982-07-25,Male,+12864993213,2010-05-02,On Leave,Operations,Software Engineer
Sarah,Hernandez,sarah.hernandez34@example.com,144658.04,France,1990-06-22,Female,+16708820912,2021-06-19,Terminated,Data,DevOps Engineer
Isabella,Moore,isabella.moore35@example.com,131902.18,Japan,1973-07-01,Other,+19885651893,2015-03-18,Terminated,Human Resources,Software Engineer
David,Jackson,david.jackson36@example.com,142798.0,Brazil,1989-11-25,Other,+19857701349,2020-01-09,On Leave,Operations,QA Engineer
Chris,Martin,chris.martin37@example.com,95081.21,Brazil,1981-01-19,Other,+17926170350,2018-01-23,Active,Operations,DevOps Engineer
Emma,Hernandez,emma.hernandez38@example.com,103078.59,Japan,1975-10-21,Female,+11506185194,2015-02-19,Active,Human Resources,Sales Representative
Sophia,Davis,sophia.davis39@example.com,49068.37,Canada,1974-01-26,Female,+19918649754,2015-10-21,Active,Data,Sales Representative
Jane,Taylor,jane.taylor40@example.com,56140.59,USA,1997-09-08,Male,+15038078650,2023-05-02,Active,Operations,Sales Representative
Isabella,Hernandez,isabella.hernandez41@example.com,51003.55,Japan,1991-03-15,Other,+19527394035,2015-11-25,Active,Product,Data Scientist
Olivia,Wilson,olivia.wilson42@example.com,51205.05,Germany,1977-01-04,Female,+17102389690,2022-07-10,Terminated,Quality Assurance,DevOps Engineer
James,Brown,james.brown43@example.com,59560.34,Australia,1990-12-03,Other,+17588178734,2023-01-28,Terminated,Human Resources,HR Specialist
Sophia,Martinez,sophia.martinez44@example.com,129850.0,UK,1977-06-02,Other,+19838317469,2014-07-29,Active,Human Resources,Software Engineer
Laura,Brown,laura.brown45@example.com,40380.17,Brazil,1994-11-21,Male,+16901374305,2018-03-31,Terminated,Engineering,Software Engineer
Olivia,Smith,olivia.smith46@example.com,119306.12,France,1974-08-28,Other,+18559644551,2021-03-04,On Leave,Operations,HR Specialist
Alex,Smith,alex.smith47@example.com,47302.49,Canada,1999-04-19,Male,+17968681752,2020-06-26,On Leave,Marketing,DevOps Engineer
John,Wilson,john.wilson48@example.com,109330.07,Brazil,1989-02-11,Female,+19077001902,2014-01-07,Terminated,Sales,Data Scientist
Jane,Jackson,jane.jackson49@example.com,45372.29,USA,1970-06-07,Female,+16600919856,2018-05-08,Active,Quality Assurance,Software Engineer
Emma,Thomas,emma.thomas50@example.com,96857.0,Japan,1980-01-31,Female,+14938043334,2020-06-11,Suspended,Sales,Sales Representative
Emma,Thomas,emma.thomas51@example.com,98672.71,Brazil,1986-11-09,Other,+12945639085,2014-01-18,Terminated,Human Resources,Product Manager
Michael,Moore,michael.moore52@example.com,103572.62,Germany,1971-07-22,Male,+12220295093,2011-01-16,Suspended,Human Resources,Data Scientist
James,Rodriguez,james.rodriguez53@example.com,127144.82,UK,1978-05-01,Male,+14037040003,2015-12-07,On Leave,Human Resources,HR Specialist
Michael,Johnson,michael.johnson54@example.com,44450.27,India,1983-07-21,Male,+16367801556,2013-11-15,On Leave,Human Resources,Software Engineer
Emma,Rodriguez,emma.rodriguez55@example.com,117614.88,USA,1986-12-30,Male,+13279220624,2013-07-14,Terminated,Engineering,HR Specialist
Ava,Miller,ava.miller56@example.com,114730.65,South Africa,1989-12-18,Female,+17063625881,2012-08-11,Suspended,Human Resources,Product Manager
Katie,Williams,katie.williams57@example.com,113360.94,South Africa,1990-04-22,Female,+13762825078,2023-03-13,Active,Marketing,Data Scientist
Sophia,Miller,sophia.miller58@example.com,147238.03,USA,1988-12-02,Male,+17454226257,2015-11-01,Terminated,Quality Assurance,Software Engineer
Michael,Garcia,michael.garcia59@example.com,71128.07,Brazil,1986-10-31,Other,+13190617074,2016-09-08,On Leave,Data,QA Engineer
Chris,Moore,chris.moore60@example.com,80833.69,Brazil,1995-12-13,Other,+13069634951,2015-04-06,Suspended,Human Resources,Product Manager
Laura,Thomas,laura.thomas61@example.com,132870.91,Australia,1993-02-27,Other,+19418555523,2017-01-05,Suspended,Quality Assurance,Data Scientist
Katie,Williams,katie.williams62@example.com,101410.74,Australia,1972-01-01,Female,+16339227493,2016-08-11,On Leave,Quality Assurance,Product Manager
Jane,Johnson,jane.johnson63@example.com,135442.1,Australia,1976-07-15,Male,+11958895825,2016-09-14,Active,Quality Assurance,DevOps Engineer
Joseph,Smith,joseph.smith64@example.com,109069.06,Japan,1990-01-10,Other,+16247596107,2020-06-07,Terminated,Human Resources,Marketing Analyst
Joseph,Smith,joseph.smith65@example.com,141073.58,South Africa,1973-01-05,Male,+15916608470,2011-02-20,Terminated,Engineering,HR Specialist
Charles,Wilson,charles.wilson66@example.com,71589.53,USA,1993-02-04,Other,+19740467303,2021-05-21,Terminated,Engineering,Marketing Analyst
Ava,Davis,ava.davis67@example.com,59496.87,Japan,1998-02-14,Other,+16821621810,2016-04-01,Active,Data,HR Specialist
Olivia,Moore,olivia.moore68@example.com,112300.38,Australia,1990-02-05,Other,+16593123763,2015-12-14,Terminated,Sales,Data Scientist
Ava,Brown,ava.brown69@example.com,140312.63,Canada,1985-12-20,Female,+14744100904,2022-10-24,Active,Sales,QA Engineer
Charles,Martin,charles.martin70@example.com,76151.34,Germany,1970-07-29,Other,+13247102905,2016-03-28,On Leave,Product,HR Specialist
Emma,Williams,emma.williams71@example.com,59244.52,Canada,1998-04-29,Male,+13907277409,2013-05-05,Suspended,Marketing,Product Manager
Michael,Jackson,michael.jackson72@example.com,133613.67,Japan,1986-05-27,Other,+11251728559,2014-09-11,Terminated,Quality Assurance,Data Scientist
James,Rodriguez,james.rodriguez73@example.com,82106.36,UK,1982-11-20,Other,+16453372919,2011-03-30,Active,Product,QA Engineer
Robert,Rodriguez,robert.rodriguez74@example.com,68149.59,South Africa,1984-06-07,Female,+19443491133,2017-01-17,Active,Operations,Software Engineer
Sophia,Davis,sophia.davis75@example.com,54794.32,Japan,1977-03-26,Female,+14230471834,2023-01-03,Suspended,Product,Data Scientist
Katie,Hernandez,katie.hernandez76@example.com,84813.52,France,1986-10-29,Female,+19546191218,2015-05-02,Terminated,Operations,Data Scientist
Emily,Lopez,emily.lopez77@example.com,117325.79,Brazil,1987-06-18,Female,+14204735113,2015-05-30,Terminated,Data,Software Engineer
Michael,Jones,michael.jones78@example.com,110398.84,South Africa,1995-09-01,Male,+14318982642,2021-08-04,Terminated,Marketing,Sales Representative
Olivia,Garcia,olivia.garcia79@example.com,44801.3,Australia,1978-11-05,Other,+14023305774,2016-06-14,Active,Human Resources,Sales Representative
Laura,Smith,laura.smith80@example.com,103402.42,India,1998-09-20,Female,+19679079106,2022-02-07,Terminated,Engineering,QA Engineer
Charles,Davis,charles.davis81@example.com,147868.4,India,1990-07-04,Male,+17058425477,2016-02-23,Active,Data,DevOps Engineer
Isabella,Gonzalez,isabella.gonzalez82@example.com,59672.55,India,1993-04-19,Male,+13577984149,2011-04-17,Suspended,Quality Assurance,Software Engineer
John,Williams,john.williams83@example.com,44522.45,Canada,1994-04-07,Other,+13784731371,2012-09-29,Suspended,Engineering,HR Specialist
Isabella,Williams,isabella.williams84@example.com,113024.45,Germany,1991-01-23,Male,+18844545169,2013-07-14,Terminated,Product,Data Scientist
John,Rodriguez,john.rodriguez85@example.com,62327.01,Germany,1985-08-16,Male,+12653209140,2012-12-21,Suspended,Engineering,Marketing Analyst
Jane,Martinez,jane.martinez86@example.com,69525.81,France,1989-04-28,Female,+19490484233,2011-05-07,Active,Sales,Product Manager
James,Smith,james.smith87@example.com,101730.86,Japan,1989-11-06,Male,+16975509707,2011-07-04,On Leave,Quality Assurance,DevOps Engineer
Alex,Rodriguez,alex.rodriguez88@example.com,49330.23,Japan,1975-12-29,Male,+13589600228,2021-08-17,Active,Engineering,HR Specialist
David,Garcia,david.garcia89@example.com,108133.93,France,1974-08-01,Female,+14730487726,2015-07-02,On Leave,Human Resources,Data Scientist
Robert,Taylor,robert.taylor90@example.com,139014.97,UK,1988-04-27,Other,+16712230148,2020-01-20,Terminated,Data,QA Engineer
William,Jackson,william.jackson91@example.com,81694.05,Germany,1973-03-08,Female,+18288118506,2014-01-09,Suspended,Quality Assurance,Marketing Analyst
Sophia,Jones,sophia.jones92@example.com,59624.36,South Africa,1978-01-05,Other,+14658360851,2012-10-30,On Leave,Quality Assurance,Product Manager
Alex,Wilson,alex.wilson93@example.com,136554.27,USA,1976-02-28,Male,+13562797979,2018-08-05,Suspended,Sales,DevOps Engineer
Katie,Garcia,katie.garcia94@example.com,106203.9,Australia,1976-04-10,Female,+16627796368,2010-03-17,Active,Product,DevOps Engineer
Alex,Rodriguez,alex.rodriguez95@example.com,101636.16,Germany,1992-06-28,Male,+16277938795,2022-01-17,Terminated,Quality Assurance,Software Engineer
Emma,Moore,emma.moore96@example.com,140246.53,UK,1971-11-24,Other,+15818696669,2014-04-19,Active,Product,HR Specialist
Alex,Anderson,alex.anderson97@example.com,106226.12,USA,1982-08-14,Other,+14966111473,2018-07-26,On Leave,Product,Product Manager
Isabella,Rodriguez,isabella.rodriguez98@example.com,83271.13,USA,1997-04-19,Male,+18615076287,2015-11-01,Terminated,Engineering,Data Scientist
Olivia,Martin,olivia.martin99@example.com,88147.96,Japan,1986-12-25,Other,+15741264782,2020-05-13,Terminated,Operations,Marketing Analyst
Emily,Martinez,emily.martinez100@example.com,96951.02,France,1979-11-06,Female,+17560600826,2013-01-27,Active,Quality Assurance,Software Engineer
Alex,Thomas,alex.thomas101@example.com,55030.33,UK,1977-12-31,Other,+12606958931,2012-03-06,Active,Human Resources,Product Manager
Laura,Garcia,laura.garcia102@example.com,90508.09,India,1975-10-03,Other,+15406479531,2016-04-17,Terminated,Operations,Software Engineer
Ava,Williams,ava.williams103@example.com,147519.42,Brazil,1980-02-22,Other,+19552128648,2016-06-17,On Leave,Engineering,DevOps Engineer
Sophia,Taylor,sophia.taylor104@example.com,86410.76,South Africa,1995-04-27,Male,+19810454649,2019-03-15,Terminated,Product,HR Specialist
Alex,Hernandez,alex.hernandez105@example.com,147698.78,Japan,1972-11-04,Other,+14167350813,2019-07-05,On Leave,Quality Assurance,Data Scientist
Charles,Jones,charles.jones106@example.com,73190.04,Canada,1994-03-14,Female,+19188136678,2010-10-26,Active,Sales,QA Engineer
Olivia,Davis,olivia.davis107@example.com,102560.15,France,1972-09-01,Other,+16709676617,2020-05-18,Terminated,Operations,Software Engineer
William,Wilson,william.wilson108@example.com,147633.27,India,1998-06-29,Female,+12645936159,2017-08-23,Suspended,Quality Assurance,HR Specialist
Laura,Williams,laura.williams109@example.com,87308.01,Germany,1991-05-03,Male,+16031249903,2017-10-12,Active,Human Resources,Software Engineer
Joseph,Rodriguez,joseph.rodriguez110@example.com,85719.71,India,1970-05-31,Other,+17068116316,2023-09-21,Terminated,Data,HR Specialist
Chris,Thomas,chris.thomas111@example.com,41812.14,UK,1991-11-16,Female,+16463843390,2016-04-21,Active,Human Resources,Data Scientist
Laura,Miller,laura.miller112@example.com,137163.87,Germany,1981-09-14,Other,+19432762418,2022-08-11,Terminated,Quality Assurance,Product Manager
Robert,Moore,robert.moore113@example.com,54403.03,Japan,1975-10-23,Female,+18651058537,2018-10-05,Suspended,Product,Data Scientist
Alex,Taylor,alex.taylor114@example.com,81218.27,France,1975-02-28,Female,+15531800112,2010-08-27,Suspended,Data,Marketing Analyst
David,Rodriguez,david.rodriguez115@example.com,130344.21,Japan,1995-08-05,Female,+16799069740,2013-06-04,Active,Data,HR Specialist
Sarah,Johnson,sarah.johnson116@example.com,44045.2,Australia,1981-12-12,Other,+14272550167,2022-05-08,Terminated,Sales,QA Engineer
Michael,Brown,michael.brown117@example.com,128823.92,South Africa,1974-05-02,Female,+13795287348,2010-04-29,Suspended,Sales,Sales Representative
Michael,Williams,michael.williams118@example.com,83802.99,Canada,1970-07-17,Male,+15317383122,2018-05-20,Suspended,Data,DevOps Engineer
Olivia,Lopez,olivia.lopez119@example.com,78958.66,USA,1981-06-05,Other,+18215562989,2016-11-22,Terminated,Operations,Product Manager
Ava,Anderson,ava.anderson120@example.com,119653.35,Canada,1978-05-25,Other,+19366877117,2015-05-06,Suspended,Data,Marketing Analyst
John,Garcia,john.garcia121@example.com,146351.42,UK,1992-04-16,Male,+16854983969,2023-09-05,On Leave,Engineering,Software Engineer
William,Smith,william.smith122@example.com,117415.3,UK,1975-06-11,Other,+16429859570,2010-10-19,Terminated,Operations,Software Engineer
Laura,Hernandez,laura.hernandez123@example.com,123072.84,South Africa,1984-08-18,Male,+18184424787,2019-02-21,On Leave,Human Resources,Software Engineer
Olivia,Rodriguez,olivia.rodriguez124@example.com,139109.74,India,1992-11-03,Female,+15591500488,2012-07-28,On Leave,Human Resources,QA Engineer
Isabella,Davis,isabella.davis125@example.com,77182.77,Germany,1988-09-05,Female,+12846049344,2022-09-21,On Leave,Data,Data Scientist
Olivia,Martinez,olivia.martinez126@example.com,115370.44,South Africa,1979-09-08,Female,+18902290999,2021-07-11,Suspended,Engineering,Sales Representative
Charles,Thomas,charles.thomas127@example.com,46426.54,USA,1980-12-13,Other,+18797515963,2011-12-31,On Leave,Data,Software Engineer
Alex,Davis,alex.davis128@example.com,125778.61,Canada,1999-05-01,Male,+11267800749,2011-05-22,Suspended,Marketing,HR Specialist
James,Hernandez,james.hernandez129@example.com,71647.51,Brazil,1993-11-25,Female,+17037493183,2023-11-10,Active,Marketing,Product Manager
John,Smith,john.smith130@example.com,135171.53,India,1974-09-02,Other,+15174556109,2014-05-12,Terminated,Sales,Product Manager
Emma,Brown,emma.brown131@example.com,46293.49,India,1971-04-22,Female,+18229358497,2012-05-10,On Leave,Marketing,Marketing Analyst
James,Rodriguez,james.rodriguez132@example.com,102784.66,UK,1987-08-12,Male,+15599740762,2021-02-05,Suspended,Operations,DevOps Engineer
Alex,Smith,alex.smith133@example.com,41694.83,USA,1970-01-03,Other,+18730275165,2020-01-08,Suspended,Human Resources,Marketing Analyst
Michael,Hernandez,michael.hernandez134@example.com,50159.59,USA,1976-09-10,Other,+17386987353,2018-08-22,On Leave,Sales,Software Engineer
Isabella,Williams,isabella.williams135@example.com,122101.09,Australia,1984-01-05,Female,+14722958298,2016-04-17,On Leave,Operations,QA Engineer
Jane,Jones,jane.jones136@example.com,68657.8,USA,1990-03-09,Male,+17746093564,2022-12-03,Terminated,Human Resources,Product Manager
Chris,Lopez,chris.lopez137@example.com,54684.13,UK,1975-06-26,Female,+12420335989,2017-09-07,On Leave,Marketing,QA Engineer
Emily,Jackson,emily.jackson138@example.com,109525.0,Australia,1980-05-27,Male,+19961189403,2013-11-26,Terminated,Engineering,Sales Representative
Jane,Johnson,jane.johnson139@example.com,84078.05,USA,1990-07-14,Female,+14466324909,2019-01-29,Active,Operations,Data Scientist
Sarah,Wilson,sarah.wilson140@example.com,142496.24,USA,1974-10-26,Male,+18983149026,2023-09-01,Suspended,Human Resources,Sales Representative
Michael,Miller,michael.miller141@example.com,84812.97,India,1998-08-17,Female,+18145530795,2023-06-28,On Leave,Human Resources,Marketing Analyst
David,Wilson,david.wilson142@example.com,71065.25,Canada,1999-09-26,Other,+12312453978,2018-07-28,Terminated,Marketing,DevOps Engineer
John,Jackson,john.jackson143@example.com,45525.76,USA,1984-07-23,Male,+17180055502,2019-05-28,Suspended,Product,Data Scientist
William,Martin,william.martin144@example.com,138794.79,Brazil,1974-02-23,Female,+17928716849,2013-06-06,On Leave,Operations,DevOps Engineer
Robert,Martin,robert.martin145@example.com,50099.89,India,1987-05-31,Female,+19384051950,2021-06-24,Active,Marketing,Product Manager
Ava,Martin,ava.martin146@example.com,123219.93,UK,1980-03-13,Male,+18545638489,2023-03-29,Terminated,Marketing,Sales Representative
William,Martinez,william.martinez147@example.com,58689.6,USA,1999-01-04,Female,+12813351805,2013-07-07,Suspended,Engineering,DevOps Engineer
Sophia,Johnson,sophia.johnson148@example.com,119749.6,Australia,1988-02-03,Male,+15791005211,2021-06-17,Suspended,Human Resources,Software Engineer
William,Garcia,william.garcia149@example.com,141917.46,Australia,1989-10-04,Female,+14846626446,2011-07-21,Terminated,Engineering,Data Scientist
Alex,Taylor,alex.taylor150@example.com,147496.04,USA,1985-05-14,Other,+14735774925,2012-04-12,Terminated,Data,QA Engineer
Laura,Jones,laura.jones151@example.com,147143.87,Canada,1978-11-23,Other,+11096480856,2012-02-02,On Leave,Operations,Data Scientist
James,Lopez,james.lopez152@example.com,41794.82,USA,1980-05-29,Female,+15216097880,2017-05-29,Suspended,Human Resources,QA Engineer
Charles,Jones,charles.jones153@example.com,111080.7,Australia,1992-02-11,Other,+15173509555,2012-09-12,On Leave,Human Resources,DevOps Engineer
Emily,Taylor,emily.taylor154@example.com,65469.36,France,1987-01-14,Other,+15942708777,2018-05-29,On Leave,Sales,DevOps Engineer
Jane,Miller,jane.miller155@example.com,126343.36,Brazil,2000-11-24,Other,+14614964621,2012-07-09,Terminated,Engineering,HR Specialist
Olivia,Martin,olivia.martin156@example.com,121902.03,Germany,1995-07-27,Male,+19616195308,2019-05-03,On Leave,Sales,Sales Representative
Olivia,Gonzalez,olivia.gonzalez157@example.com,105279.95,UK,1970-05-12,Female,+15388738371,2018-02-25,Suspended,Data,Software Engineer
Isabella,Smith,isabella.smith158@example.com,64516.22,South Africa,1979-02-20,Male,+17626008881,2021-06-13,Suspended,Human Resources,Product Manager
Isabella,Moore,isabella.moore159@example.com,128361.1,USA,1988-10-25,Male,+17798436885,2018-02-20,On Leave,Operations,HR Specialist
James,Miller,james.miller160@example.com,95089.17,Germany,1996-07-05,Male,+15961148194,2011-11-12,On Leave,Product,Software Engineer
John,Hernandez,john.hernandez161@example.com,140017.11,Brazil,1974-09-23,Female,+16125634463,2012-06-07,Terminated,Data,Marketing Analyst
Alex,Smith,alex.smith162@example.com,60281.09,India,1982-02-05,Male,+12581449452,2020-05-24,On Leave,Quality Assurance,QA Engineer
Alex,Jackson,alex.jackson163@example.com,61799.84,UK,1993-09-19,Other,+11066941759,2022-11-22,Terminated,Human Resources,Data Scientist
Jane,Lopez,jane.lopez164@example.com,53711.4,Germany,1999-08-08,Female,+18100235801,2016-02-15,Terminated,Human Resources,Marketing Analyst
Sophia,Brown,sophia.brown165@example.com,99157.71,UK,1972-07-03,Other,+13078040374,2023-12-16,On Leave,Human Resources,Software Engineer
Laura,Brown,laura.brown166@example.com,85591.86,UK,1988-02-05,Female,+13059149750,2016-08-19,Terminated,Data,DevOps Engineer
Emily,Hernandez,emily.hernandez167@example.com,102087.89,Germany,1971-02-24,Other,+15675468386,2011-07-14,Active,Marketing,QA Engineer
Joseph,Jones,joseph.jones168@example.com,98200.8,South Africa,1975-01-10,Male,+13086519566,2020-04-13,Active,Marketing,QA Engineer
Katie,Davis,katie.davis169@example.com,50761.84,USA,1993-01-18,Other,+16635046300,2021-10-28,Suspended,Human Resources,HR Specialist
Laura,Wilson,laura.wilson170@example.com,76002.0,India,1983-10-09,Male,+15819384514,2011-07-15,Active,Quality Assurance,Marketing Analyst
Alex,Taylor,alex.taylor171@example.com,75806.29,India,1988-12-28,Male,+11904045823,2011-08-31,Active,Quality Assurance,Software Engineer
Isabella,Anderson,isabella.anderson172@example.com,144033.05,Australia,1999-02-21,Female,+11687327267,2012-06-20,Suspended,Engineering,Sales Representative
John,Jones,john.jones173@example.com,78257.34,Japan,1986-07-19,Male,+12797139726,2013-07-07,On Leave,Sales,Product Manager
David,Lopez,david.lopez174@example.com,53038.51,South Africa,1998-04-06,Male,+16369710725,2012-09-03,Terminated,Engineering,Sales Representative
Alex,Jones,alex.jones175@example.com,56107.9,Germany,1996-05-09,Other,+19391720200,2021-10-07,Terminated,Marketing,DevOps Engineer
Chris,Hernandez,chris.hernandez176@example.com,63590.27,France,1979-10-05,Female,+11801088499,2017-07-14,On Leave,Sales,Marketing Analyst
Sophia,Anderson,sophia.anderson177@example.com,120064.81,Australia,1984-08-16,Other,+17175333537,2014-07-02,Active,Sales,DevOps Engineer
Emma,Gonzalez,emma.gonzalez178@example.com,85628.0,Brazil,1991-02-12,Female,+19673323725,2021-11-10,Terminated,Product,HR Specialist
Chris,Taylor,chris.taylor179@example.com,49009.48,India,1992-11-11,Male,+19579897771,2012-06-20,Active,Engineering,DevOps Engineer
William,Hernandez,william.hernandez180@example.com,58268.9,Brazil,1973-09-17,Other,+15468560240,2017-03-05,Active,Engineering,Product Manager
Emily,Anderson,emily.anderson181@example.com,102058.84,India,1979-05-22,Other,+16254283583,2015-09-09,On Leave,Sales,Product Manager
Emily,Williams,emily.williams182@example.com,72362.7,Australia,1997-02-13,Other,+15202654493,2011-03-30,Suspended,Quality Assurance,Software Engineer
Joseph,Johnson,joseph.johnson183@example.com,75733.66,UK,1992-04-17,Male,+11348043604,2016-09-05,Active,Quality Assurance,Software Engineer
Jane,Brown,jane.brown184@example.com,47417.67,France,1997-10-08,Other,+17966206209,2012-10-17,On Leave,Product,Sales Representative
Isabella,Davis,isabella.davis185@example.com,84188.12,South Africa,1977-07-15,Other,+12937632255,2014-01-30,Terminated,Marketing,Software Engineer
Joseph,Lopez,joseph.lopez186@example.com,124162.32,Australia,1972-04-09,Female,+19193545622,2013-11-21,Terminated,Sales,Sales Representative
Emma,Lopez,emma.lopez187@example.com,126368.52,India,1982-08-16,Male,+19292721661,2022-01-18,Terminated,Human Resources,HR Specialist
Emma,Martin,emma.martin188@example.com,130377.47,Germany,1985-01-04,Female,+11404741005,2023-09-30,Suspended,Sales,Data Scientist
Michael,Jackson,michael.jackson189@example.com,132486.95,India,1976-09-11,Female,+14967127165,2018-08-16,Active,Sales,Data Scientist
Emma,Garcia,emma.garcia190@example.com,41317.9,India,1982-06-18,Male,+15032548126,2021-03-25,Suspended,Product,Software Engineer
Laura,Thomas,laura.thomas191@example.com,106740.16,Australia,1984-04-12,Other,+18396493113,2016-07-25,Active,Marketing,Sales Representative
Alex,Johnson,alex.johnson192@example.com,88464.86,Germany,1994-01-28,Male,+14231010792,2018-05-02,On Leave,Operations,DevOps Engineer
Isabella,Thomas,isabella.thomas193@example.com,56453.25,USA,1996-07-18,Female,+17762746248,2023-05-27,On Leave,Engineering,Product Manager
Katie,Davis,katie.davis194@example.com,88952.17,India,1974-09-08,Male,+18920133128,2010-02-14,Active,Engineering,Marketing Analyst
Katie,Martinez,katie.martinez195@example.com,104459.52,USA,1999-10-10,Male,+11618736391,2019-08-07,Active,Sales,Software Engineer
Laura,Hernandez,laura.hernandez196@example.com,73462.39,Japan,1978-08-06,Other,+15315637884,2010-08-20,Terminated,Marketing,QA Engineer
Sophia,Anderson,sophia.anderson197@example.com,111172.52,UK,1979-05-31,Other,+19975416824,2015-01-30,Active,Sales,HR Specialist
Sophia,Rodriguez,sophia.rodriguez198@example.com,138060.1,UK,1983-02-21,Female,+17908316346,2020-09-21,Suspended,Operations,HR Specialist
William,Moore,william.moore199@example.com,118775.87,Germany,1991-03-05,Female,+15251834020,2012-06-05,Suspended,Sales,DevOps Engineer
Chris,Wilson,chris.wilson200@example.com,96106.12,India,2000-04-24,Female,+12025728362,2016-02-06,Terminated,Quality Assurance,DevOps Engineer
